target,files_scanned,findings_total,high,medium,low,checks_failed,checks_passed,checks_unknown
/Users/billp/Documents/GitHub/V8/validate_eleanor_repo.py,1,0,0,0,0,0,13,2
/Users/billp/Documents/GitHub/V8/api,58,250,81,131,38,10,3,2
/Users/billp/Documents/GitHub/V8/config,3,8,8,0,0,1,12,2
/Users/billp/Documents/GitHub/V8/core,12,7,1,4,2,4,9,2
/Users/billp/Documents/GitHub/V8/database,1,0,0,0,0,0,13,2
/Users/billp/Documents/GitHub/V8/engine,408,1808,583,900,325,11,2,2
/Users/billp/Documents/GitHub/V8/evidence,3,0,0,0,0,0,13,2
/Users/billp/Documents/GitHub/V8/examples,13,41,32,6,3,4,9,2
/Users/billp/Documents/GitHub/V8/governance,28,36,10,19,7,7,6,2
/Users/billp/Documents/GitHub/V8/llm,9,1,0,1,0,1,12,2
/Users/billp/Documents/GitHub/V8/policies,1,14,1,13,0,3,10,2
/Users/billp/Documents/GitHub/V8/policy_gate,4,3,2,1,0,1,12,2
/Users/billp/Documents/GitHub/V8/precedent,5,4,2,2,0,2,11,2
/Users/billp/Documents/GitHub/V8/scripts,21,21,8,11,2,6,7,2
/Users/billp/Documents/GitHub/V8/signing,4,4,1,2,1,4,9,2
/Users/billp/Documents/GitHub/V8/tests,544,1015,547,278,190,12,1,2
/Users/billp/Documents/GitHub/V8/ui,3,85,7,75,3,6,7,2
/Users/billp/Documents/GitHub/V8/uncertainty,2,0,0,0,0,0,13,2
